COW Nr.,COW ID,State Name,Start,End,Micro,New State,,,,,,,,
671,HEJ,Hejaz,1.10.1916,8.1.1926,,X,,,,,,,,
273,HSE,Hesse Electoral,1.1.1816,26.7.1866,,,,,,,,,,
275,HSG,Hesse Grand Ducal,1.1.1816,17.4.1867,,,,,,,,,,
91,HON,Honduras,1.1.1840,31.12.2011,,,,,,,,,,
310,HUN,Hungary,16.11.1918,31.12.2011,,,,,,,,,,
395,ICE,Iceland,17.6.1944,31.12.2011,,,,,,,,,,
750,IND,India,15.8.1947,31.12.2011,,,,,,,,,,
850,INS,Indonesia,27.12.1949,31.12.2011,,,,,,,,,,
7547,INO,Indore,1.1.1816,31.12.1818,,,,,,,,,,
630,IRN,Iran,1.1.1816,31.12.2011,,,,,,,,,,
645,IRQ,Iraq,3.10.1932,31.12.2011,,,,,,,,,,
205,IRE,Ireland,6.12.1922,31.12.2011,,,,,,,,,,
666,ISR,Israel,14.5.1948,31.12.2011,,,,,,,,,,
325,ITA,Italy,1.1.1816,31.12.2011,,,,,,,,,,
437,CDI,Ivory Coast,7.8.1960,31.12.2011,,,,,,,,,,
7512,JPR,Jaipur,1.1.1816,25.4.1818,,X,,,,,,,,
51,JAM,Jamaica,6.8.1962,31.12.2011,,,,,,,,,,
740,JPN,Japan,1.1.1816,14.8.1945,,,,,,,,,,
740,JPN,Japan,28.4.1952,31.12.2011,,,,,,,,,,
5322,JMK,Jimma-Kakka,1.1.1830,31.12.1885,,X,,,,,,,,
7516,JOD,Jodhpur,1.1.1816,6.6.1818,,X,,,,,,,,
8221,JOH,Johore,1.1.1816,31.12.1885,,X,,,,,,,,
663,JOR,Jordan,22.3.1946,31.12.2011,,,,,,,,,,
4325,KTA,Kaarta,1.1.1816,31.12.1854,,X,,,,,,,,
5309,KAF,Kaffa,1.1.1816,11.9.1897,,X,,,,,,,,
7588,KLT,Kalat,1.1.1816,31.12.1876,,X,,,,,,,,
4763,KNB,Kanem-Bornu,1.1.1816,31.12.1893,,X,,,,,,,,
7573,KPT,Kapurthala,1.1.1816,31.12.1826,,X,,,,,,,,
8542,KRG,Karangasem (Bali and Lombok),1.1.1816,11.1.1894,,X,,,,,,,,
4903,KAS,Kasanje,1.1.1816,31.12.1911,,X,,,,,,,,
6844,KAT,Kathiri Sultanate,1.1.1816,31.12.1888,,X,,,,,,,,
705,KZK,Kazakhstan,26.12.1991,31.12.2011,,,,,,,,,,
5517,KAZ,Kazembe,1.1.1816,31.12.1890,,X,,,,,,,,
8222,KED,Kedah,1.1.1816,31.12.1821,,X,,,,,,,,
8223,KEL,Kelantan,1.1.1816,10.3.1909,,X,,,,,,,,
501,KEN,Kenya,12.12.1963,31.12.2011,,,,,,,,,,
7552,KHI,Khaipur,1.1.1816,25.12.1838,,X,,,,,,,,
7030,KHV,Khiva,1.1.1816,12.8.1873,,X,,,,,,,,
946,KIR,Kiribati,12.7.1979,31.12.2011,X,,,,,,,,,
7010,KOK,Kokand,1.1.1816,30.5.1865,,X,,,,,,,,
4911,KON,Kongo Kingdom,1.1.1816,31.12.1888,,X,,,,,,,,
730,KOR,Korea,1.1.1816,17.11.1905,,,,,,,,,,
347,KOS,Kosovo,20.2.2008,31.12.2011,,,,,,,,,,
7521,KOT,Kotah,1.1.1816,31.12.1818,,X,,,,,,,,
4910,KUB,Kuba,1.1.1816,31.12.1910,,X,,,,,,,,
690,KUW,Kuwait,19.6.1961,31.12.2011,,,,,,,,,,
703,KYR,Kyrgyzstan,26.12.1991,31.12.2011,,,,,,,,,,
812,LAO,Laos,23.10.1953,31.12.2011,,,,,,,,,,
367,LAT,Latvia,18.11.1918,16.6.1940,,,,,,,,,,
367,LAT,Latvia,6.9.1991,31.12.2011,,,,,,,,,,
660,LEB,Lebanon,10.3.1946,31.12.2011,,,,,,,,,,
570,LES,Lesotho,4.10.1966,31.12.2011,,,,,,,,,,
450,LBR,Liberia,1.7.1847,31.12.2011,,,,,,,,,,
620,LIB,Libya,1.1.1816,1.1.1835,,,,,,,,,,
620,LIB,Libya,24.12.1951,31.12.2011,,,,,,,,,,
223,LIE,Liechtenstein,18.9.1990,31.12.2011,X,,,,,,,,,
274,LIP,Lippe,1.1.1816,1.7.1867,,X,,,,,,,,
368,LIT,Lithuania,16.2.1918,15.6.1940,,,,,,,,,,
368,LIT,Lithuania,6.9.1991,31.12.2011,,,,,,,,,,
4904,LUB,Luba,1.1.1816,31.12.1889,,X,,,,,,,,
4902,LUN,Lunda Empire,1.1.1816,31.12.1889,,X,,,,,,,,
212,LUX,Luxembourg,23.11.1890,10.5.1940,,,,,,,,,,
212,LUX,Luxembourg,10.9.1944,31.12.2011,,,,,,,,,,
343,MAC,Macedonia,8.4.1993,31.12.2011,,,,,,,,,,
580,MAG,Madagascar,1.1.1816,30.1.1885,,X,,,,,,,,
580,MAG,Madagascar,26.6.1960,31.12.2011,,,,,,,,,,
553,MAW,Malawi,6.7.1964,31.12.2011,,,,,,,,,,
820,MAL,Malaysia,31.8.1957,31.12.2011,,,,,,,,,,
781,MAD,Maldives,26.7.1965,31.12.2011,,,,,,,,,,
432,MLI,Mali,20.6.1960,31.12.2011,,,,,,,,,,
338,MLT,Malta,21.9.1964,31.12.2011,,,,,,,,,,
4393,MDK,Mandinka Empire (Wassulu),1.1.1878,29.9.1898,,X,,,,,,,,
7587,MPR,Manipur,1.1.1816,27.4.1891,,X,,,,,,,,
983,MSI,Marshall Islands,21.10.1986,31.12.2011,X,,,,,,,,,
4326,MAS,Massina,1.1.1820,31.12.1862,,X,,,,,,,,
435,MAA,Mauritania,28.11.1960,31.12.2011,,,,,,,,,,
590,MAS,Mauritius,12.3.1968,31.12.2011,,,,,,,,,,
280,MEC,Mecklenburg Schwerin,1.1.1816,17.4.1867,,,,,,,,,,
70,MEX,Mexico,1.7.1821,31.12.2011,,,,,,,,,,
8534,MIN,Minangkabau,1.1.1816,31.12.1837,,X,,,,,,,,
332,MOD,Modena,1.1.1816,15.3.1860,,,,,,,,,,
359,MLD,Moldova,26.12.1991,31.12.2011,,,,,,,,,,
221,MNC,Monaco,28.5.1993,31.12.2011,X,,,,,,,,,
712,MON,Mongolia,13.3.1921,31.12.2011,,,,,,,,,,
341,MNG,Montenegro,1.1.1878,31.12.1918,,X,,,,,,,,
341,MNG,Montenegro,12.6.2006,31.12.2011,,,,,,,,,,
600,MOR,Morocco,1.1.1816,2.5.1911,,,,,,,,,,
600,MOR,Morocco,2.3.1956,31.12.2011,,,,,,,,,,
541,MZM,Mozambique,25.6.1975,31.12.2011,,,,,,,,,,
775,MYA,Myanmar,1.1.1816,29.11.1885,,,,,,,,,,
775,MYA,Myanmar,4.1.1948,31.12.2011,,,,,,,,,,
7585,NAG,Nagpur,1.1.1816,31.12.1818,,,,,,,,,,
565,NAM,Namibia,21.3.1990,31.12.2011,,,,,,,,,,
254,NAS,Nassau,1.1.1816,31.12.1866,,X,,,,,,,,
970,NAU,Nauru,31.1.1968,31.12.2011,X,,,,,,,,,
790,NEP,Nepal,1.1.1816,31.12.2011,,,,,,,,,,
210,NTH,Netherlands,1.1.1816,14.7.1940,,,,,,,,,,
210,NTH,Netherlands,26.6.1945,31.12.2011,,,,,,,,,,
920,NEW,New Zealand,10.1.1920,31.12.2011,,,,,,,,,,
93,NIC,Nicaragua,1.1.1840,31.12.2011,,,,,,,,,,
436,NIR,Niger,3.10.1960,31.12.2011,,,,,,,,,,
475,NIG,Nigeria,1.10.1960,31.12.2011,,,,,,,,,,
731,PRK,North Korea,9.9.1948,31.12.2011,,,,,,,,,,
385,NOR,Norway,7.6.1905,30.4.1940,,,,,,,,,,
385,NOR,Norway,7.5.1945,31.12.2011,,,,,,,,,,
257,OLD,Oldenburg,1.1.1816,1.7.1867,,X,,,,,,,,
698,OMA,Oman,1.1.1816,31.12.1891,,,,,,,,,,
698,OMA,Oman,7.10.1971,31.12.2011,,,,,,,,,,
564,OFS,Orange Free State,28.3.1854,30.5.1902,,,,,,,,,,
5402,OVB,Ovimbundu,1.1.1816,31.12.1903,,X,,,,,,,,
4775,OYO,Oyo,1.1.1816,31.12.1835,,X,,,,,,,,
8203,PAH,Pahang,1.1.1816,31.12.1874,,X,,,,,,,,
770,PAK,Pakistan,14.8.1947,31.12.2011,,,,,,,,,,
986,PAL,Palau,15.12.1994,31.12.2011,X,,,,,,,,,
8537,PAL,Palembang,1.1.1816,31.12.1823,,X,,,,,,,,
95,PAN,Panama,3.11.1903,31.12.2011,,,,,,,,,,
327,PAP,Papal States,1.1.1816,5.11.1860,,,,,,,,,,
910,PNG,Papua New Guinea,16.9.1975,31.12.2011,,,,,,,,,,
150,PAR,Paraguay,1.1.1816,31.12.2011,,,,,,,,,,
335,PMA,Parma,1.1.1816,15.3.1860,,,,,,,,,,
8201,PER,Perak,1.1.1816,20.1.1874,,X,,,,,,,,
135,PER,Peru,1.1.1821,31.12.1836,,,,,,,,,,
135,PER,Peru,1.1.1840,31.12.2011,,,,,,,,,,
136,PER,Peru_Bolivia,1.1.1836,31.12.1839,,,,,,,,,,
7561,PES,Peshwa,1.1.1816,31.12.1817,,,,,,,,,,
840,PHI,Philippines,4.7.1946,31.12.2011,,,,,,,,,,
290,POL,Poland,3.11.1918,27.9.1939,,,,,,,,,,
290,POL,Poland,28.6.1945,31.12.2011,,,,,,,,,,
235,POR,Portugal,1.1.1816,31.12.2011,,,,,,,,,,
7691,PUN,Punjab,1.1.1816,31.12.1846,,,,,,,,,,
694,QAT,Qatar,3.9.1971,31.12.2011,,,,,,,,,,
6845,QUA,Qu'aiti Sultanate,1.1.1816,31.12.1888,,X,,,,,,,,
817,RVN,Republic of Vietnam,4.6.1954,30.4.1975,,,,,,,,,,
360,ROM,Romania,13.7.1878,31.12.2011,,,,,,,,,,
517,RWA,Ruanda,1.1.1816,14.5.1890,,X,,,,,,,,
517,RWA,Rwanda,1.7.1962,31.12.2011,,,,,,,,,,
365,RUS,Russia,1.1.1816,31.12.2011,,,,,,,,,,
4335,SAL,Saloum,1.1.1816,31.12.1887,,X,,,,,,,,
990,WSM,Samoa,1.1.1962,31.12.2011,,,,,,,,,,
331,SNM,San Marino,2.3.1992,31.12.2011,X,,,,,,,,,
403,STP,Sao Tome and Principe,12.7.1975,31.12.2011,X,,,,,,,,,
670,SAU,Saudi Arabia (Nejd),1.1.1816,31.12.1818,,X,,,,,,,,
670,SAU,Saudi Arabia (Nejd),1.1.1824,31.12.1838,,X,,,,,,,,
670,SAU,Saudi Arabia (Nejd),1.1.1843,31.12.2011,,X,,,,,,,,
7539,SAW,Sawantvadi,1.1.1816,31.12.1838,,X,,,,,,,,
262,SXA,Saxe-Atenburg,1.1.1816,1.7.1867,,X,,,,,,,,
264,SXG,Saxe-Coburg-Gotha,1.1.1816,1.7.1867,,X,,,,,,,,
266,SXM,Saxe-Meiningen-Hidburghausen,1.1.1816,1.7.1867,,X,,,,,,,,
261,SXW,Saxe-Wiemar-Eisenach,1.1.1816,1.7.1867,,X,,,,,,,,
269,SAX,Saxony,1.1.1816,17.4.1867,,,,,,,,,,
4327,SEG,Segou,1.1.1816,10.3.1861,,X,,,,,,,,
8202,SEL,Selangor,1.1.1816,30.10.1875,,X,,,,,,,,
433,SEN,Senegal,20.8.1960,31.12.2011,,,,,,,,,,
591,SEY,Seychelles,29.6.1976,31.12.2011,X,,,,,,,,,
5303,SHO,Shoa,30.6.1865,10.3.1889,,X,,,,,,,,
8533,SIA,Siak,1.1.1816,31.12.1858,,X,,,,,,,,
451,SIE,Sierra Leone,27.4.1961,31.12.2011,,,,,,,,,,
761,SIK,Sikkim,1.1.1816,17.3.1890,,X,,,,,,,,
7693,SID,Sind,1.1.1816,31.12.1839,,,,,,,,,,
830,SIN,Singapore,9.8.1965,31.12.2011,,,,,,,,,,
7571,SIR,Sirohi,1.1.1816,11.9.1823,,X,,,,,,,,
317,SLO,Slovakia,1.1.1993,31.12.2011,,,,,,,,,,
349,SLV,Slovenia,15.1.1992,31.12.2011,,,,,,,,,,
4751,SOK,Sokoto,1.1.1816,30.3.1903,,X,,,,,,,,
940,SOL,Solomon Islands,7.7.1978,31.12.2011,,,,,,,,,,
520,SOM,Somalia,1.7.1960,31.12.2011,,,,,,,,,,
560,SAF,South Africa,10.1.1885,31.12.2011,,,,,,,,,,
732,ROK,South Korea,29.6.1949,31.12.2011,,,,,,,,,,
626,SSD,South Sudan,9.7.2011,31.12.2011,,,,,,,,,,
230,SPN,Spain,1.1.1816,31.12.2011,,,,,,,,,,
780,SRI,Sri Lanka,4.2.1948,31.12.2011,,,,,,,,,,
60,SKN,St. Kitts and Nevis,19.9.1983,31.12.2011,X,,,,,,,,,
56,SLU,St. Lucia,22.2.1979,31.12.2011,,,,,,,,,,
57,SVG,St. Vincent and the Grenadines,27.10.1979,31.12.2011,X,,,,,,,,,
625,SUD,Sudan,1.1.1886,31.12.1886,,,,,,,,,,
625,SUD,Sudan,1.1.1956,31.12.2011,,,,,,,,,,
8401,SUL,Sulu,1.1.1816,19.4.1851,,X,,,,,,,,
115,SUR,Suriname,25.11.1975,31.12.2011,,,,,,,,,,
7701,SWA,Swat,1.1.1816,31.12.1896,,X,,,,,,,,
572,SWA,Swaziland,6.9.1968,31.12.2011,,,,,,,,,,
380,SWD,Sweden,1.1.1816,31.12.2011,,,,,,,,,,
225,SWZ,Switzerland,1.1.1816,31.12.2011,,,,,,,,,,
652,SYR,Syria,17.4.1946,2.1.1958,,,,,,,,,,
652,SYR,Syria,29.9.1961,31.12.2011,,,,,,,,,,
713,TAW,Taiwan,8.12.1949,31.12.2011,,,,,,,,,,
702,TAJ,Tajikistan,26.12.1991,31.12.2011,,,,,,,,,,
510,TAZ,Tanzania,9.12.1961,31.12.2011,,,,,,,,,,
8225,TER,Terengganu,1.1.1816,31.12.1862,,X,,,,,,,,
7,TEX,Texas,2.3.1836,19.2.1846,,X,,,,,,,,
800,THI,Thailand,1.1.1816,31.12.2011,,,,,,,,,,
7910,TBT,Tibet,1.1.1913,1.10.1950,,,,,,,,,,
461,TOG,Togo,27.4.1960,31.12.2011,,,,,,,,,,
4321,TOK,Tokolor,1.1.1848,31.12.1893,,X,,,,,,,,
955,TON,Tonga,4.6.1970,31.12.2011,X,,,,,,,,,
563,TRA,Transvaal,1.1.1852,23.3.1881,,,,,,,,,,
52,TRI,Trinidad and Tobago,31.8.1962,31.12.2011,,,,,,,,,,
616,TUN,Tunisia,1.1.1816,12.5.1881,,,,,,,,,,
616,TUN,Tunisia,20.3.1956,31.12.2011,,,,,,,,,,
640,TUR,Turkey,1.1.1816,31.12.2011,,,,,,,,,,
701,TKM,Turkmenistan,26.12.1991,31.12.2011,,,,,,,,,,
337,TUS,Tuscany,1.1.1816,15.3.1860,,,,,,,,,,
947,TUV,Tuvalu,1.10.1978,31.12.2011,X,,,,,,,,,
329,SIC,Two Sicilies,1.1.1816,13.2.1861,,,,,,,,,,
7513,UPR,Udaipur,1.1.1816,31.12.1817,,X,,,,,,,,
500,UGA,Uganda,9.10.1962,31.12.2011,,,,,,,,,,
369,UKR,Ukraine,26.12.1991,31.12.2011,,,,,,,,,,
696,UAE,United Arab Emirates,2.12.1971,31.12.2011,,,,,,,,,,
200,UKG,United Kingdom,1.1.1816,31.12.2011,,,,,,,,,,
89,UPC,United Provinces of Central America,1.7.1823,31.12.1839,,,,,,,,,,
2,USA,United States of America,1.1.1816,31.12.2011,,,,,,,,,,
165,URU,Uruguay,27.8.1828,31.12.2011,,,,,,,,,,
516,BUR,Urundi,1.1.1816,14.5.1890,,X,,,,,,,,
704,UZB,Uzbekistan,26.12.1991,31.12.2011,,,,,,,,,,
935,VAN,Vanuatu,30.7.1980,31.12.2011,,,,,,,,,,
101,VEN,Venezuela,1.1.1830,31.12.2011,,,,,,,,,,
816,DRV,Vietnam,21.7.1954,31.12.2011,,,,,,,,,,
4832,WAD,Wadai,1.1.1816,6.6.1906,,X,,,,,,,,
271,WRT,Wuerttemburg,1.1.1816,18.1.1871,,,,,,,,,,
4396,MOS,Yatenga (Mossi),1.1.1816,30.9.1895,,X,,,,,,,,
4907,YEK,Yeke Kingdom,1.1.1880,20.12.1891,,X,,,,,,,,
679,YEM,Yemen,22.5.1990,31.12.2011,,,,,,,,,,
678,YAR,Yemen Arab Republic,11.11.1918,22.5.1990,,,,,,,,,,
680,YPR,Yemen People's Republic,30.11.1967,22.5.1990,,,,,,,,,,
345,YUG,Yugoslavia,13.7.1878,20.4.1941,,,,,,,,,,
345,YUG,Yugoslavia,20.10.1944,31.12.2011,,,,,,,,,,
551,ZAM,Zambia,24.10.1964,31.12.2011,,,,,,,,,,
511,ZAN,Zanzibar,1.1.1816,1.7.1890,,X,,,,,,,,
511,ZAN,Zanzibar,19.12.1963,26.4.1964,,,,,,,,,,
552,ZIM,Zimbabwe,11.11.1965,31.12.2011,,,,,,,,,,
4362,ZIN,Zinder (Damagaram),1.1.1851,30.7.1889,,X,,,,,,,,
5621,ZUL,Zululand,1.1.1816,31.12.1887,,X,,,,,,,,
