dyad,statelno,statelab,statehno,statehab,conttype,begin,end,notes,version
41100,41,"HAI",100,"COL",5,193408,201612,"Across Caribbean Sea; resumes after USA occupation of HAI ends",3.2
42051,42,"DOM",51,"JAM",5,196208,201612,"Across Jamaica Channel/Caribbean Sea; begins with JAM system entry",3.2
42060,42,"DOM",60,"SKN",5,198309,201612,"Across Caribbean Sea; begins with SKN system entry",3.2
42100,42,"DOM",100,"COL",5,189401,191611,"Across Caribbean Sea; begins with DOM system entry; ends with USA occupation of DOM",3.2
42100,42,"DOM",100,"COL",5,192409,201612,"Across Caribbean Sea; resumes after USA occupation of DOM ends",3.2
42101,42,"DOM",101,"VEN",5,189401,191611,"Across Caribbean Sea; begins with DOM system entry; ends with USA occupation of DOM",3.2
42101,42,"DOM",101,"VEN",5,192409,201612,"Across Caribbean Sea; resumes after USA occupation of DOM ends",3.2
51091,51,"JAM",91,"HON",5,196208,201612,"Across Caribbean Sea; begins with JAM system entry",3.2
51093,51,"JAM",93,"NIC",5,196208,201612,"Across Caribbean Sea; begins with JAM system entry",3.2
51100,51,"JAM",100,"COL",5,196208,201612,"Across Caribbean Sea; begins with JAM system entry",3.2
52053,52,"TRI",53,"BAR",4,196611,201612,"Across Atlantic Ocean; begins with BAR system entry",3.2
52055,52,"TRI",55,"GRN",4,197402,201612,"Across Caribbean Sea; begins with GRN system entry",3.2
52056,52,"TRI",56,"SLU",5,197902,201612,"Across Caribbean Sea; begins with SLU system entry",3.2
52057,52,"TRI",57,"SVG",4,197910,201612,"Across Caribbean Sea; begins with SVG system entry",3.2
52101,52,"TRI",101,"VEN",3,196208,201612,"Across Gulf of Paria; begins with TRI system entry",3.2
52110,52,"TRI",110,"GUY",4,196605,201612,"Across Atlantic Ocean; begins with GUY system entry",3.2
52115,52,"TRI",115,"SUR",5,197511,201612,"Across Atlantic Ocean; begins with SUR system entry",3.2
53054,53,"BAR",54,"DMA",5,197811,201612,"Across Atlantic Ocean; begins with DMA system entry",3.2
53055,53,"BAR",55,"GRN",4,197402,201612,"Across Atlantic Ocean; begins with GRN system entry",3.2
53056,53,"BAR",56,"SLU",4,197902,201612,"Across Atlantic Ocean; begins with SLU system entry",3.2
53057,53,"BAR",57,"SVG",4,197910,201612,"Across Atlantic Ocean; begins with SVG system entry",3.2
53058,53,"BAR",58,"AAB",5,198111,201612,"Across Atlantic Ocean; begins with AAB system entry",3.2
53101,53,"BAR",101,"VEN",5,196611,201612,"Across Caribbean Sea/Atlantic Ocean; begins with BAR system entry",3.2
53110,53,"BAR",110,"GUY",5,196611,201612,"Across Atlantic Ocean; begins with BAR system entry",3.2
54055,54,"DMA",55,"GRN",5,197811,201612,"Across Caribbean Sea; begins with DMA system entry",3.2
54056,54,"DMA",56,"SLU",4,197902,201612,"Across Caribbean Sea; begins with SLU system entry",3.2
54057,54,"DMA",57,"SVG",5,197910,201612,"Across Caribbean Sea; begins with SVG system entry",3.2
54060,54,"DMA",60,"SKN",5,198309,201612,"Across Caribbean Sea; begins with SKN system entry",3.2
54101,54,"DMA",101,"VEN",4,197811,201612,"Across Caribbean Sea; begins with DMA system entry",3.2
55057,55,"GRN",57,"SVG",2,197910,201612,"Across Caribbean Sea; begins with SVG system entry",3.2
55058,55,"GRN",58,"AAB",5,198111,201612,"Across Caribbean Sea; begins with AAB system entry",3.2
55060,55,"GRN",60,"SKN",5,198309,201612,"Across Caribbean Sea; begins with SKN system entry",3.2
55101,55,"GRN",101,"VEN",4,197402,201612,"Across Caribbean Sea; begins with GRN system entry",3.2
55110,55,"GRN",110,"GUY",5,197402,201612,"Across Atlantic Ocean; begins with GRN system entry",3.2
56057,56,"SLU",57,"SVG",3,197910,201612,"Across Caribbean Sea; begins with SVG system entry",3.2
56058,56,"SLU",58,"AAB",5,198111,201612,"Across Caribbean Sea; begins with AAB system entry",3.2
56060,56,"SLU",60,"SKN",5,198309,201612,"Across Caribbean Sea; begins with SKN system entry",3.2
56101,56,"SLU",101,"VEN",5,197902,201612,"Across Caribbean Sea; begins with SLU system entry",3.2
56110,56,"SLU",110,"GUY",5,197902,201612,"Across Atlantic Ocean; begins with SLU system entry",3.2
57058,57,"SVG",58,"AAB",5,198111,201612,"Across Caribbean Sea; begins with AAB system entry",3.2
57060,57,"SVG",60,"SKN",5,198309,201612,"Across Caribbean Sea; begins with SKN system entry",3.2
57101,57,"SVG",101,"VEN",4,197910,201612,"Across Caribbean Sea; begins with SVG system entry",3.2
57110,57,"SVG",110,"GUY",5,197910,201612,"Across Atlantic Ocean; begins with SVG system entry",3.2
58060,58,"AAB",60,"SKN",3,198309,201612,"Across Caribbean Sea; begins with SKN system entry",3.2
58101,58,"AAB",101,"VEN",4,198111,201612,"Across Caribbean Sea; begins with AAB system entry",3.2
60101,60,"SKN",101,"VEN",4,198309,201612,"Across Caribbean Sea; begins with SKN system entry",3.2
70080,70,"MEX",80,"BLZ",1,198109,201612,"Begins with BLZ system entry",3.2
70090,70,"MEX",90,"GUA",1,186801,201612,"Begins with GUA system entry",3.2
70091,70,"MEX",91,"HON",5,189901,201612,"Across Caribbean Sea; begins with HON system entry",3.2
80090,80,"BLZ",90,"GUA",1,198109,201612,"Begins with BLZ system entry",3.2
80091,80,"BLZ",91,"HON",4,198109,201612,"Across Gulf of Honduras; begins with BLZ system entry",3.2
90091,90,"GUA",91,"HON",1,189901,201612,"Begins with HON system entry",3.2
90092,90,"GUA",92,"SAL",1,187501,201612,"Begins with SAL system entry",3.2
90093,90,"GUA",93,"NIC",5,190001,201612,"Across edge of Pacific Ocean; begins with NIC system entry",3.2
90094,90,"GUA",94,"COS",5,192001,201612,"Across edge of Pacific Ocean; begins with COS system entry",3.2
91092,91,"HON",92,"SAL",1,189901,201612,"Begins with HON system entry",3.2
91093,91,"HON",93,"NIC",1,190001,201612,"Begins with NIC system entry",3.2
92093,92,"SAL",93,"NIC",3,190001,201612,"Across Gulf of Fonseca; begins with NIC system entry",3.2
92094,92,"SAL",94,"COS",5,192001,201612,"Across edge of Pacific Ocean; begins with COS system entry",3.2
93094,93,"NIC",94,"COS",1,192001,201612,"Begins with COS system entry",3.2
93095,93,"NIC",95,"PAN",5,192001,201612,"Across Caribbean Sea; begins with PAN system entry",3.2
93100,93,"NIC",100,"COL",5,190001,190311,"Across Caribbean Sea; begins with NIC system entry; ends with PAN secession from COL",3.2
93100,93,"NIC",100,"COL",4,192803,201612,"Across Caribbean Sea; begins when San Andres & Providencia islands join COL",3.2
94095,94,"COS",95,"PAN",1,192001,201612,"Begins with COS and PAN system entry",3.2
94100,94,"COS",100,"COL",4,192803,201612,"Across Caribbean Sea; begins when San Andres & Providencia islands join COL",3.2
95100,95,"PAN",100,"COL",1,192001,201612,"Begins with PAN system entry",3.2
100101,100,"COL",101,"VEN",1,184101,201612,"Begins with VEN system entry",3.2
100130,100,"COL",130,"ECU",1,185401,201612,"Begins with ECU system entry",3.2
100135,100,"COL",135,"PER",1,191607,201612,"Begins with ECU-COL treaty that cedes ECU territory along PER to COL",3.2
100140,100,"COL",140,"BRA",1,183101,201612,"Begins with COL system entry",3.2
101110,101,"VEN",110,"GUY",1,196605,201612,"Begins with GUY system entry",3.2
101140,101,"VEN",140,"BRA",1,184101,201612,"Begins with VEN system entry",3.2
110115,110,"GUY",115,"SUR",1,197511,201612,"Begins with SUR system entry",3.2
110140,110,"GUY",140,"BRA",1,196605,201612,"Begins with GUY system entry",3.2
115140,115,"SUR",140,"BRA",1,197511,201612,"Begins with SUR system entry",3.2
130135,130,"ECU",135,"PER",1,185401,201612,"Begins with ECU system entry",3.2
130140,130,"ECU",140,"BRA",1,185401,191607,"Begins with ECU system entry; ends with ECU-COL treaty that cedes ECU territory along BRA to COL",3.2
135140,135,"PER",140,"BRA",1,183901,201612,"Begins with PER system entry",3.2
135145,135,"PER",145,"BOL",1,184801,201612,"Begins with BOL system entry",3.2
135155,135,"PER",155,"CHL",1,188310,201612,"Begins after BOL loses seacoast to CHL in War of the Pacific",3.2
140145,140,"BRA",145,"BOL",1,184801,201612,"Begins with BOL system entry",3.2
140150,140,"BRA",150,"PAR",1,184601,187006,"Begins with PAR system entry; ends with BRA/ARG occupation of PAR",3.2
140150,140,"BRA",150,"PAR",1,187601,201612,"Resumes after BRA/ARG occupation of PAR ends",3.2
140160,140,"BRA",160,"ARG",1,184101,201612,"Begins with ARG system entry (ARG territory between URU and PAR bordered BRA)",3.2
140165,140,"BRA",165,"URU",1,188201,201612,"Begins with URU system entry",3.2
145150,145,"BOL",150,"PAR",1,184801,187006,"Begins with PAR system entry; ends with BRA/ARG occupation of PAR",3.2
145150,145,"BOL",150,"PAR",1,187606,201612,"Resumes after BRA/ARG occupation of PAR ends",3.2
145155,145,"BOL",155,"CHL",1,184801,201612,"Begins with BOL system entry",3.2
145160,145,"BOL",160,"ARG",1,184801,201612,"Begins with BOL system entry",3.2
150160,150,"PAR",160,"ARG",1,184601,187006,"Begins with PAR system entry; ends with BRA/ARG occupation of PAR",3.2
150160,150,"PAR",160,"ARG",1,187606,201612,"Resumes after BRA/ARG occupation of PAR ends",3.2
155160,155,"CHL",160,"ARG",1,184101,201612,"Begins with ARG system entry",3.2
160165,160,"ARG",165,"URU",1,188201,201612,"Begins with URU system entry",3.2
200205,200,"UKG",205,"IRE",1,192212,201612,"Begins with IRE system entry",3.2
200210,200,"UKG",210,"NTH",4,181601,194007,"Across North Sea; ends with GMY occupation of NTH",3.2
200210,200,"UKG",210,"NTH",4,194506,201612,"Across North Sea; resumes after GMY occupation of NTH ends",3.2
200211,200,"UKG",211,"BEL",4,183012,194005,"Across North Sea; begins with BEL system entry; ends with GMY occupation of BEL",3.2
200211,200,"UKG",211,"BEL",4,194506,201612,"Across North Sea; resumes after GMY occupation of BEL ends",3.2
200220,200,"UKG",220,"FRN",3,181601,194006,"Across English Channel; ends with GMY occupation of northern France",3.2
200220,200,"UKG",220,"FRN",3,194408,201612,"Across English Channel;resumes after GMY occupation of northern France ends",3.2
200240,200,"UKG",240,"HAN",5,183801,186607,"Across North Sea; begins with HAN system entry; ends with GMY absorption of HAN",3.2
200255,200,"UKG",255,"GMY",5,186607,194505,"Across North Sea (through Hanover); begins with GMY absorption of HAN; ends with Allied occupation of GMY",3.2
200255,200,"UKG",255,"GMY",5,199010,201612,"Across North Sea (through Hanover); resumes with GMY reunification",3.2
200260,200,"UKG",260,"GFR",5,195505,199010,"Across North Sea (through Hanover); begins with GFR system entry after division of GMY",3.2
200380,200,"UKG",380,"SWD",5,181601,190506,"Across North Sea (through Norway); ends with NOR independence from SWE",3.2
200385,200,"UKG",385,"NOR",5,190506,194004,"Across North Sea; begins with NOR system entry; ends with GMY occupation of NOR",3.2
200385,200,"UKG",385,"NOR",5,194505,201612,"Across North Sea; resumes after GMY occupation of NOR ends",3.2
200390,200,"UKG",390,"DEN",5,181601,194004,"Across North Sea; ends with GMY occupation of DEN",3.2
200390,200,"UKG",390,"DEN",5,194505,201612,"Across North Sea; resumes after GMY occupation of DEN ends",3.2
205220,205,"IRE",220,"FRN",5,192212,194006,"Across Celtic Sea; begins with IRE system entry; ends with GMY occupation of northern France",3.2
205220,205,"IRE",220,"FRN",5,194408,201612,"Across Celtic Sea; resumes after GMY occupation of northern France ends",3.2
210211,210,"NTH",211,"BEL",1,183012,194005,"Begins with BEL system entry; ends with GMY occupation of BEL",3.2
210211,210,"NTH",211,"BEL",1,194505,201612,"Resumes after GMY occupation of NTH/BEL ends",3.2
210220,210,"NTH",220,"FRN",1,181601,183012,"Direct land border ends with BEL independence from NTH",3.2
210220,210,"NTH",220,"FRN",5,183012,194007,"Across North Sea; begins when direct land border lost to BEL secession; ends with GMY occupation of NTH",3.2
210220,210,"NTH",220,"FRN",5,194506,201612,"Across North Sea; resumes after GMY occupation of NTH ends",3.2
210240,210,"NTH",240,"HAN",1,183801,186607,"Begins with HAN system entry; ends with GMY absorption of HAN",3.2
210255,210,"NTH",255,"GMY",1,181601,194007,"Ends with GMY occupation of NTH",3.2
210255,210,"NTH",255,"GMY",1,199010,201612,"Resumes with GMY reunification",3.2
210260,210,"NTH",260,"GFR",1,195505,199010,"Begins with GFR system entry after division of GMY; ends with GMY reunification",3.2
210380,210,"NTH",380,"SWD",5,181601,190506,"Across North Sea (through Norway); ends with NOR independence from SWE",3.2
210385,210,"NTH",385,"NOR",5,190506,194004,"Across North Sea; begins with NOR system entry; ends with GMY occupation of NOR",3.2
210385,210,"NTH",385,"NOR",5,194505,201612,"Across North Sea; resumes after GMY occupation of NOR ends",3.2
210390,210,"NTH",390,"DEN",4,181601,194004,"Across North Sea; ends with GMY occupation of DEN",3.2
210390,210,"NTH",390,"DEN",4,194505,201612,"Across North Sea; resumes after GMY occupation of DEN ends",3.2
211212,211,"BEL",212,"LUX",1,192011,194005,"Begins with LUX system entry; ends with GMY occupation of LUX",3.2
211212,211,"BEL",212,"LUX",1,194505,201612,"Resumes after GMY occupation of BEL ends",3.2
211220,211,"BEL",220,"FRN",1,183012,194005,"Begins with BEL system entry; ends with GMY occupation of BEL",3.2
211220,211,"BEL",220,"FRN",1,194506,201612,"Resumes after GMY occupation of BEL ends",3.2
211255,211,"BEL",255,"GMY",1,183012,194005,"Begins with BEL system entry; ends with GMY occupation of BEL",3.2
211255,211,"BEL",255,"GMY",1,199010,201612,"Resumes with GMY reunification",3.2
211260,211,"BEL",260,"GFR",1,195505,199010,"Begins with GFR system entry after division of GMY; ends with GMY reunification",3.2
211390,211,"BEL",390,"DEN",5,183012,194004,"Across North Sea; begins with BEL system entry; ends with GMY occupation of DEN",3.2
211390,211,"BEL",390,"DEN",5,194505,201612,"Across North Sea; resumes after GMY occupation of BEL ends",3.2
212220,212,"LUX",220,"FRN",1,192011,194005,"Begins with LUX system entry; ends with GMY occupation of LUX",3.2
212220,212,"LUX",220,"FRN",1,194409,201612,"Resumes after GMY occupation of LUX ends",3.2
212255,212,"LUX",255,"GMY",1,192011,194005,"Begins with LUX system entry; ends with GMY occupation of LUX",3.2
212255,212,"LUX",255,"GMY",1,194409,194505,"Resumes after GMY occupation of LUX ends; ends with Allied occupation of GMY",3.2
212255,212,"LUX",255,"GMY",1,199010,201612,"Resumes with GMY reunification",3.2
212260,212,"LUX",260,"GFR",1,195505,199010,"Begins with GFR system entry after division of GMY; ends with GMY reunification",3.2
220221,220,"FRN",221,"MNC",1,199305,201612,"Begins with MNC system entry",3.2
220225,220,"FRN",225,"SWZ",1,181601,194211,"Ends with GMY occupation of FRN",3.2
220225,220,"FRN",225,"SWZ",1,194408,201612,"Resumes after GMY occupation of FRN ends",3.2
220230,220,"FRN",230,"SPN",1,181601,194211,"Ends with GMY occupation of FRN",3.2
220230,220,"FRN",230,"SPN",1,194408,201612,"Resumes after GMY occupation of FRN ends",3.2
220232,220,"FRN",232,"AND",1,199307,201612,"Begins with AND system entry",3.2
220245,220,"FRN",245,"BAV",1,181601,187101,"Ends with GMY absorption of BAV",3.2
220255,220,"FRN",255,"GMY",1,181601,194006,"Ends with GMY occupation of northern France",3.2
220255,220,"FRN",255,"GMY",1,194408,194505,"Resumes after GMY occupation of FRN ends; ends with Allied occupation of GMY",3.2
220255,220,"FRN",255,"GMY",1,199010,201612,"Resumes with GMY reunification",3.2
220260,220,"FRN",260,"GFR",1,195505,199010,"Begins with GFR system entry after division of GMY; ends with GMY reunification",3.2
220267,220,"FRN",267,"BAD",1,181601,187101,"Ends with GMY absorption of BAD",3.2
220325,220,"FRN",325,"ITA",1,181601,194211,"Ends with GMY occupation of FRN",3.2
220325,220,"FRN",325,"ITA",1,194408,201612,"Resumes after GMY occupation of FRN ends",3.2
220327,220,"FRN",327,"PAP",4,181601,186011,"Across Ligurian Sea; ends with ITA absorption of PAP",3.2
220332,220,"FRN",332,"MOD",4,184201,186003,"Across Ligurian Sea; ends with ITA absorption of MOD",3.2
220337,220,"FRN",337,"TUS",3,181601,186003,"Across Ligurian Sea; ends with ITA absorption of TUS",3.2
220390,220,"FRN",390,"DEN",5,181601,194004,"Across North Sea; ends with GMY occupation of DEN",3.2
220390,220,"FRN",390,"DEN",5,194505,201612,"Across North Sea; resumes after GMY occupation of DEN ends",3.2
220615,220,"FRN",615,"ALG",5,196207,201612,"Across Mediterranean Sea; begins with ALG system entry",3.2
220616,220,"FRN",616,"TUN",5,182501,188105,"Across Mediterranean Sea; begins with TUN system entry; ends with FRN occupation of TUN",3.2
220616,220,"FRN",616,"TUN",5,195603,201612,"Across Mediterranean Sea; resumes with TUN system reentry",3.2
221230,221,"MNC",230,"SPN",5,199305,201612,"Across Mediterranean Sea (closest=Menorca); begins with MNC system entry",3.2
221325,221,"MNC",325,"ITA",4,199305,201612,"Across Ligurian Sea; begins with MNC system entry",3.2
223225,223,"LIE",225,"SWZ",1,199009,201612,"Begins with LIE system entry",3.2
223305,223,"LIE",305,"AUS",1,199009,201612,"Begins with LIE system entry",3.2
225245,225,"SWZ",245,"BAV",2,181601,187101,"Across Lake Constance; ends with GMY absorption of BAV",3.2
225255,225,"SWZ",255,"GMY",1,187101,194505,"Through Baden; begins with GMY absorption of BAD; ends with Allied occupation of GMY",3.2
225255,225,"SWZ",255,"GMY",1,199010,201612,"Through Baden; resumes with GMY reunification",3.2
225260,225,"SWZ",260,"GFR",1,195505,199010,"Through Baden; begins with GFR system entry after division of GMY; ends with GMY reunification",3.2
225267,225,"SWZ",267,"BAD",1,181601,187101,"Ends with GMY absorption of BAD",3.2
225271,225,"SWZ",271,"WRT",2,181601,187001,"Across Lake Constance; ends with GMY absorption of WRT",3.2
225300,225,"SWZ",300,"AUH",1,181601,191811,"Ends with dissolution of AUH",3.2
225305,225,"SWZ",305,"AUS",1,191909,193803,"Begins with AUS system entry; ends with Anschluss",3.2
225305,225,"SWZ",305,"AUS",1,195507,201612,"Resumes when AUS rejoins system",3.2
225325,225,"SWZ",325,"ITA",1,181601,201612,"Both in system for entire COW era",3.2
230232,230,"SPN",232,"AND",1,199307,201612,"Begins with AND system entry",3.2
230235,230,"SPN",235,"POR",1,181601,201612,"Both in system for entire COW era",3.2
230325,230,"SPN",325,"ITA",5,181601,201612,"Across Mediterranean Sea (closest=Menorca-Sardinia); both in system for entire COW era",3.2
230337,230,"SPN",337,"TUS",5,181601,186003,"Across Mediterranean Sea; ends with ITA absorption of TUS",3.2
230435,230,"SPN",435,"MAA",5,197602,197908,"Across Atlantic Ocean (through Western Sahara-Canary Is.); begins with MAA entry into W.Sahara; ends with MAA withdrawal from W.Sahara",3.2
230600,230,"SPN",600,"MOR",3,184701,191105,"Across Strait of Gibraltar; begins with MOR system entry; ends when FRN begins protectorate over MOR",3.2
230600,230,"SPN",600,"MOR",1,195603,201612,"Resumes with MOR system reentry",3.2
230615,230,"SPN",615,"ALG",4,196207,201612,"Across Mediterranean Sea; begins with ALG system entry",3.2
230616,230,"SPN",616,"TUN",5,182501,188105,"Across Mediterranean Sea; begins with TUN system entry; ends with FRN occupation of TUN",3.2
230616,230,"SPN",616,"TUN",5,195603,201612,"Across Mediterranean Sea; resumes with TUN system reentry",3.2
235600,235,"POR",600,"MOR",4,184701,191105,"Across Atlantic Ocean; begins with MOR system entry; ends when FRN begins protectorate over MOR",3.2
235600,235,"POR",600,"MOR",4,195603,201612,"Across Atlantic Ocean; resumes with MOR system reentry",3.2
240255,240,"HAN",255,"GMY",1,183801,186607,"Begins with HAN system entry; ends with GMY absorption of HAN",3.2
240273,240,"HAN",273,"HSE",1,183801,186607,"Begins with HSE system entry; ends with GMY absorption of HSE",3.2
240280,240,"HAN",280,"MEC",1,184301,186607,"Begins with MEC system entry; ends with GMY absorption of HAN",3.2
240380,240,"HAN",380,"SWD",5,183801,186607,"Across North Sea (through Norway); begins with HAN system entry; ends with GMY absorption of HAN",3.2
240390,240,"HAN",390,"DEN",4,183801,186607,"Across North Sea; begins with HAN system entry; ends with GMY absorption of HAN",3.2
245255,245,"BAV",255,"GMY",1,181601,187101,"Ends with GMY absorption of BAV",3.2
245267,245,"BAV",267,"BAD",1,181601,187101,"Ends with GMY absorption of BAD/BAV",3.2
245269,245,"BAV",269,"SAX",1,181601,186704,"Ends with GMY absorption of SAX",3.2
245271,245,"BAV",271,"WRT",1,181601,187001,"Ends with GMY absorption of WRT",3.2
245273,245,"BAV",273,"HSE",1,181601,186607,"Ends with GMY absorption of HSE",3.2
245275,245,"BAV",275,"HSG",1,181601,186704,"Ends with GMY absorption of HSG",3.2
245300,245,"BAV",300,"AUH",1,181601,187101,"Ends with GMY absorption of BAV",3.2
255267,255,"GMY",267,"BAD",1,184912,187101,"Through Hohenzollern; begins with Prussian incorporation of Hohenzollern; ends with GMY absorption of BAD",3.2
255269,255,"GMY",269,"SAX",1,181601,186704,"Ends with GMY absorption of SAX",3.2
255271,255,"GMY",271,"WRT",1,184912,187001,"Through Hohenzollern; begins with Prussian incorporation of Hohenzollern; ends with GMY absorption of WRT",3.2
255273,255,"GMY",273,"HSE",1,181601,186607,"Ends with GMY absorption of HSE",3.2
255275,255,"GMY",275,"HSG",1,181601,186704,"Ends with GMY absorption of HSG",3.2
255280,255,"GMY",280,"MEC",1,184301,186704,"Begins with MEC system entry; ends with GMY absorption of HAN",3.2
255290,255,"GMY",290,"POL",1,191811,193909,"Begins with POL system entry; ends with GMY/RUS occupation of POL",3.2
255290,255,"GMY",290,"POL",1,199010,201612,"Resumes after GMY reunification",3.2
255300,255,"GMY",300,"AUH",1,181601,191811,"Begins with POL system entry; ends with dissolution of Austria-Hungary",3.2
255305,255,"GMY",305,"AUS",1,191909,193803,"Begins with AUS system entry; ends with Anschluss",3.2
255305,255,"GMY",305,"AUS",1,199010,201612,"Resumes after GMY reunification",3.2
255310,255,"GMY",310,"HUN",1,193803,194505,"Through Austria; begins after Anschluss; ends with Allied occupation of GMY",3.2
255315,255,"GMY",315,"CZE",1,191810,193903,"Begins with CZE system entry; ends with GMY occupation of CZE",3.2
255315,255,"GMY",315,"CZE",1,199010,199212,"Resumes after GMY reunification; ends with CZE dissolution",3.2
255316,255,"GMY",316,"CZR",1,199301,201612,"Begins with CZR system entry",3.2
255325,255,"GMY",325,"ITA",1,193803,194505,"Through Austria; begins after Anschluss; ends with Allied occupation of GMY",3.2
255345,255,"GMY",345,"YUG",1,193803,194104,"Through Austria and Slovenia; begins after Anschluss; ends with GMY occupation of YUG",3.2
255345,255,"GMY",345,"YUG",1,194410,194505,"Through Austria and Slovenia; begins after GMY occupation of YUG ends; ends with Allied occupation of GMY",3.2
255365,255,"GMY",365,"RUS",1,181601,191811,"Through East Prussia and Poland/Lithuania; ends with independence of POL & LIT",3.2
255365,255,"GMY",365,"RUS",1,193909,194106,"Through occupied Poland; begins with GMY/RUS occupation of POL; ends with removal of RUS occupiers",3.2
255365,255,"GMY",365,"RUS",5,199010,201612,"Across Baltic Sea; through Kaliningrad; resumes after GMY reunification",3.2
255366,255,"GMY",366,"EST",5,191802,194006,"Across Baltic Sea; begins with EST system entry; ends with RUS annexation of EST",3.2
255366,255,"GMY",366,"EST",5,199109,201612,"Across Baltic Sea; resumes with EST independence from RUS",3.2
255367,255,"GMY",367,"LAT",4,191811,194006,"Across Baltic Sea; through East Prussia; begins with LAT system entry; ends with RUS annexation of LAT",3.2
255367,255,"GMY",367,"LAT",5,199109,201612,"Across Baltic Sea; resumes with LAT independence from RUS",3.2
255368,255,"GMY",368,"LIT",1,191802,194006,"Through East Prussia; begins with LIT system entry; ends with RUS annexation of LIT",3.2
255368,255,"GMY",368,"LIT",5,199109,201612,"Across Baltic Sea; resumes with LIT independence from RUS",3.2
255375,255,"GMY",375,"FIN",5,191712,194505,"Across Baltic Sea; through East Prussia; begins with FIN system entry; ends with Allied occupation of GMY",3.2
255380,255,"GMY",380,"SWD",4,181601,194505,"Across Baltic Sea; ends with Allied occupation of GMY",3.2
255380,255,"GMY",380,"SWD",4,199010,201612,"Across Baltic Sea; resumes after GMY reunification",3.2
255385,255,"GMY",385,"NOR",5,190506,194004,"Across North Sea; begins with NOR system entry; ends with GMY occupation of NOR",3.2
255385,255,"GMY",385,"NOR",5,199010,201612,"Across North Sea; resumes after GMY reunification",3.2
255390,255,"GMY",390,"DEN",4,181601,186508,"Across Brandenburger Bucht; through Holstein; ends with Prussian acquisition of direct land border after 2nd Schleswig-Holstein war",3.2
255390,255,"GMY",390,"DEN",1,186508,194004,"Begins with Prussian acquisition of Schleswig; ends with GMY occupation of DEN",3.2
255390,255,"GMY",390,"DEN",1,199010,201612,"Resumes after GMY reunification",3.2
260265,260,"GFR",265,"GDR",1,195505,199010,"Begins with GFR system entry after division of GMY; ends with GMY reunification",3.2
