stateno,stateab,year,total,land,sea,version
2,"USA",1878,1,1,0,3.2
2,"USA",1879,1,1,0,3.2
2,"USA",1880,1,1,0,3.2
2,"USA",1881,1,1,0,3.2
2,"USA",1882,1,1,0,3.2
2,"USA",1883,1,1,0,3.2
2,"USA",1884,1,1,0,3.2
2,"USA",1885,1,1,0,3.2
2,"USA",1886,1,1,0,3.2
2,"USA",1887,1,1,0,3.2
2,"USA",1888,1,1,0,3.2
2,"USA",1889,1,1,0,3.2
2,"USA",1890,1,1,0,3.2
2,"USA",1891,1,1,0,3.2
2,"USA",1892,1,1,0,3.2
2,"USA",1893,1,1,0,3.2
2,"USA",1894,1,1,0,3.2
2,"USA",1895,1,1,0,3.2
2,"USA",1896,1,1,0,3.2
2,"USA",1897,1,1,0,3.2
2,"USA",1898,1,1,0,3.2
2,"USA",1899,1,1,0,3.2
2,"USA",1900,1,1,0,3.2
2,"USA",1901,1,1,0,3.2
2,"USA",1902,2,1,1,3.2
2,"USA",1903,2,1,1,3.2
2,"USA",1904,2,1,1,3.2
2,"USA",1905,2,1,1,3.2
2,"USA",1906,2,1,1,3.2
2,"USA",1907,1,1,0,3.2
2,"USA",1908,1,1,0,3.2
2,"USA",1909,2,1,1,3.2
2,"USA",1910,2,1,1,3.2
2,"USA",1911,2,1,1,3.2
2,"USA",1912,2,1,1,3.2
2,"USA",1913,2,1,1,3.2
2,"USA",1914,2,1,1,3.2
2,"USA",1915,2,1,1,3.2
2,"USA",1916,2,1,1,3.2
2,"USA",1917,2,1,1,3.2
2,"USA",1918,2,1,1,3.2
2,"USA",1919,2,1,1,3.2
2,"USA",1920,3,2,1,3.2
2,"USA",1921,3,2,1,3.2
2,"USA",1922,3,2,1,3.2
2,"USA",1923,3,2,1,3.2
2,"USA",1924,3,2,1,3.2
2,"USA",1925,3,2,1,3.2
2,"USA",1926,3,2,1,3.2
2,"USA",1927,3,2,1,3.2
2,"USA",1928,3,2,1,3.2
2,"USA",1929,3,2,1,3.2
2,"USA",1930,3,2,1,3.2
2,"USA",1931,3,2,1,3.2
2,"USA",1932,3,2,1,3.2
2,"USA",1933,3,2,1,3.2
2,"USA",1934,3,2,1,3.2
2,"USA",1935,3,2,1,3.2
2,"USA",1936,3,2,1,3.2
2,"USA",1937,3,2,1,3.2
2,"USA",1938,3,2,1,3.2
2,"USA",1939,3,2,1,3.2
2,"USA",1940,3,2,1,3.2
2,"USA",1941,3,2,1,3.2
2,"USA",1942,3,2,1,3.2
2,"USA",1943,3,2,1,3.2
2,"USA",1944,3,2,1,3.2
2,"USA",1945,3,2,1,3.2
2,"USA",1946,3,2,1,3.2
2,"USA",1947,3,2,1,3.2
2,"USA",1948,3,2,1,3.2
2,"USA",1949,3,2,1,3.2
2,"USA",1950,3,2,1,3.2
2,"USA",1951,3,2,1,3.2
2,"USA",1952,3,2,1,3.2
2,"USA",1953,3,2,1,3.2
2,"USA",1954,3,2,1,3.2
2,"USA",1955,3,2,1,3.2
2,"USA",1956,3,2,1,3.2
2,"USA",1957,3,2,1,3.2
2,"USA",1958,3,2,1,3.2
2,"USA",1959,4,2,2,3.2
2,"USA",1960,4,2,2,3.2
2,"USA",1961,4,2,2,3.2
2,"USA",1962,4,2,2,3.2
2,"USA",1963,4,2,2,3.2
2,"USA",1964,4,2,2,3.2
2,"USA",1965,4,2,2,3.2
2,"USA",1966,4,2,2,3.2
2,"USA",1967,4,2,2,3.2
2,"USA",1968,4,2,2,3.2
2,"USA",1969,4,2,2,3.2
2,"USA",1970,4,2,2,3.2
2,"USA",1971,4,2,2,3.2
2,"USA",1972,4,2,2,3.2
2,"USA",1973,5,2,3,3.2
2,"USA",1974,5,2,3,3.2
2,"USA",1975,5,2,3,3.2
2,"USA",1976,5,2,3,3.2
2,"USA",1977,5,2,3,3.2
2,"USA",1978,5,2,3,3.2
2,"USA",1979,5,2,3,3.2
2,"USA",1980,5,2,3,3.2
2,"USA",1981,5,2,3,3.2
2,"USA",1982,5,2,3,3.2
2,"USA",1983,5,2,3,3.2
2,"USA",1984,5,2,3,3.2
2,"USA",1985,5,2,3,3.2
2,"USA",1986,5,2,3,3.2
2,"USA",1987,5,2,3,3.2
2,"USA",1988,5,2,3,3.2
2,"USA",1989,5,2,3,3.2
2,"USA",1990,5,2,3,3.2
2,"USA",1991,5,2,3,3.2
2,"USA",1992,5,2,3,3.2
2,"USA",1993,5,2,3,3.2
2,"USA",1994,5,2,3,3.2
2,"USA",1995,5,2,3,3.2
2,"USA",1996,5,2,3,3.2
2,"USA",1997,5,2,3,3.2
2,"USA",1998,5,2,3,3.2
2,"USA",1999,5,2,3,3.2
2,"USA",2000,5,2,3,3.2
2,"USA",2001,5,2,3,3.2
2,"USA",2002,5,2,3,3.2
2,"USA",2003,5,2,3,3.2
2,"USA",2004,5,2,3,3.2
2,"USA",2005,5,2,3,3.2
2,"USA",2006,5,2,3,3.2
2,"USA",2007,5,2,3,3.2
2,"USA",2008,5,2,3,3.2
2,"USA",2009,5,2,3,3.2
2,"USA",2010,5,2,3,3.2
2,"USA",2011,5,2,3,3.2
2,"USA",2012,5,2,3,3.2
2,"USA",2013,5,2,3,3.2
2,"USA",2014,5,2,3,3.2
2,"USA",2015,5,2,3,3.2
2,"USA",2016,5,2,3,3.2
20,"CAN",1920,1,1,0,3.2
20,"CAN",1921,1,1,0,3.2
20,"CAN",1922,1,1,0,3.2
20,"CAN",1923,1,1,0,3.2
20,"CAN",1924,1,1,0,3.2
20,"CAN",1925,1,1,0,3.2
20,"CAN",1926,1,1,0,3.2
20,"CAN",1927,1,1,0,3.2
20,"CAN",1928,1,1,0,3.2
20,"CAN",1929,1,1,0,3.2
20,"CAN",1930,1,1,0,3.2
20,"CAN",1931,1,1,0,3.2
20,"CAN",1932,1,1,0,3.2
20,"CAN",1933,1,1,0,3.2
20,"CAN",1934,1,1,0,3.2
20,"CAN",1935,1,1,0,3.2
20,"CAN",1936,1,1,0,3.2
20,"CAN",1937,1,1,0,3.2
20,"CAN",1938,1,1,0,3.2
20,"CAN",1939,1,1,0,3.2
20,"CAN",1940,1,1,0,3.2
20,"CAN",1941,1,1,0,3.2
20,"CAN",1942,1,1,0,3.2
20,"CAN",1943,1,1,0,3.2
20,"CAN",1944,1,1,0,3.2
20,"CAN",1945,1,1,0,3.2
20,"CAN",1946,1,1,0,3.2
20,"CAN",1947,1,1,0,3.2
20,"CAN",1948,1,1,0,3.2
20,"CAN",1949,1,1,0,3.2
20,"CAN",1950,1,1,0,3.2
20,"CAN",1951,1,1,0,3.2
20,"CAN",1952,1,1,0,3.2
20,"CAN",1953,1,1,0,3.2
20,"CAN",1954,1,1,0,3.2
20,"CAN",1955,1,1,0,3.2
20,"CAN",1956,1,1,0,3.2
20,"CAN",1957,1,1,0,3.2
20,"CAN",1958,1,1,0,3.2
20,"CAN",1959,1,1,0,3.2
20,"CAN",1960,1,1,0,3.2
20,"CAN",1961,1,1,0,3.2
20,"CAN",1962,1,1,0,3.2
20,"CAN",1963,1,1,0,3.2
20,"CAN",1964,1,1,0,3.2
20,"CAN",1965,1,1,0,3.2
20,"CAN",1966,1,1,0,3.2
20,"CAN",1967,1,1,0,3.2
20,"CAN",1968,1,1,0,3.2
20,"CAN",1969,1,1,0,3.2
20,"CAN",1970,1,1,0,3.2
20,"CAN",1971,1,1,0,3.2
20,"CAN",1972,1,1,0,3.2
20,"CAN",1973,1,1,0,3.2
20,"CAN",1974,1,1,0,3.2
20,"CAN",1975,1,1,0,3.2
20,"CAN",1976,1,1,0,3.2
20,"CAN",1977,1,1,0,3.2
20,"CAN",1978,1,1,0,3.2
20,"CAN",1979,1,1,0,3.2
20,"CAN",1980,1,1,0,3.2
20,"CAN",1981,1,1,0,3.2
20,"CAN",1982,1,1,0,3.2
20,"CAN",1983,1,1,0,3.2
20,"CAN",1984,1,1,0,3.2
20,"CAN",1985,1,1,0,3.2
20,"CAN",1986,1,1,0,3.2
20,"CAN",1987,1,1,0,3.2
20,"CAN",1988,1,1,0,3.2
20,"CAN",1989,1,1,0,3.2
20,"CAN",1990,1,1,0,3.2
20,"CAN",1991,1,1,0,3.2
20,"CAN",1992,1,1,0,3.2
20,"CAN",1993,1,1,0,3.2
20,"CAN",1994,1,1,0,3.2
20,"CAN",1995,1,1,0,3.2
20,"CAN",1996,1,1,0,3.2
20,"CAN",1997,1,1,0,3.2
20,"CAN",1998,1,1,0,3.2
20,"CAN",1999,1,1,0,3.2
20,"CAN",2000,1,1,0,3.2
20,"CAN",2001,1,1,0,3.2
20,"CAN",2002,1,1,0,3.2
20,"CAN",2003,1,1,0,3.2
20,"CAN",2004,1,1,0,3.2
20,"CAN",2005,1,1,0,3.2
20,"CAN",2006,1,1,0,3.2
20,"CAN",2007,1,1,0,3.2
20,"CAN",2008,1,1,0,3.2
20,"CAN",2009,1,1,0,3.2
20,"CAN",2010,1,1,0,3.2
20,"CAN",2011,1,1,0,3.2
20,"CAN",2012,1,1,0,3.2
20,"CAN",2013,1,1,0,3.2
20,"CAN",2014,1,1,0,3.2
20,"CAN",2015,1,1,0,3.2
20,"CAN",2016,1,1,0,3.2
31,"BHM",1973,5,0,5,3.2
31,"BHM",1974,5,0,5,3.2
31,"BHM",1975,5,0,5,3.2
31,"BHM",1976,5,0,5,3.2
31,"BHM",1977,5,0,5,3.2
31,"BHM",1978,5,0,5,3.2
31,"BHM",1979,5,0,5,3.2
31,"BHM",1980,5,0,5,3.2
31,"BHM",1981,5,0,5,3.2
31,"BHM",1982,5,0,5,3.2
31,"BHM",1983,5,0,5,3.2
31,"BHM",1984,5,0,5,3.2
31,"BHM",1985,5,0,5,3.2
31,"BHM",1986,5,0,5,3.2
31,"BHM",1987,5,0,5,3.2
31,"BHM",1988,5,0,5,3.2
31,"BHM",1989,5,0,5,3.2
31,"BHM",1990,5,0,5,3.2
31,"BHM",1991,5,0,5,3.2
31,"BHM",1992,5,0,5,3.2
31,"BHM",1993,5,0,5,3.2
31,"BHM",1994,5,0,5,3.2
31,"BHM",1995,5,0,5,3.2
31,"BHM",1996,5,0,5,3.2
31,"BHM",1997,5,0,5,3.2
31,"BHM",1998,5,0,5,3.2
31,"BHM",1999,5,0,5,3.2
31,"BHM",2000,5,0,5,3.2
31,"BHM",2001,5,0,5,3.2
31,"BHM",2002,5,0,5,3.2
31,"BHM",2003,5,0,5,3.2
31,"BHM",2004,5,0,5,3.2
31,"BHM",2005,5,0,5,3.2
31,"BHM",2006,5,0,5,3.2
31,"BHM",2007,5,0,5,3.2
31,"BHM",2008,5,0,5,3.2
31,"BHM",2009,5,0,5,3.2
31,"BHM",2010,5,0,5,3.2
31,"BHM",2011,5,0,5,3.2
31,"BHM",2012,5,0,5,3.2
31,"BHM",2013,5,0,5,3.2
31,"BHM",2014,5,0,5,3.2
31,"BHM",2015,5,0,5,3.2
31,"BHM",2016,5,0,5,3.2
40,"CUB",1902,5,0,5,3.2
40,"CUB",1903,5,0,5,3.2
40,"CUB",1904,5,0,5,3.2
40,"CUB",1905,5,0,5,3.2
40,"CUB",1906,5,0,5,3.2
40,"CUB",1909,5,0,5,3.2
40,"CUB",1910,5,0,5,3.2
40,"CUB",1911,5,0,5,3.2
40,"CUB",1912,5,0,5,3.2
40,"CUB",1913,5,0,5,3.2
40,"CUB",1914,5,0,5,3.2
40,"CUB",1915,5,0,5,3.2
40,"CUB",1916,4,0,4,3.2
40,"CUB",1917,3,0,3,3.2
40,"CUB",1918,3,0,3,3.2
40,"CUB",1919,3,0,3,3.2
40,"CUB",1920,3,0,3,3.2
40,"CUB",1921,3,0,3,3.2
40,"CUB",1922,3,0,3,3.2
40,"CUB",1923,3,0,3,3.2
40,"CUB",1924,4,0,4,3.2
40,"CUB",1925,4,0,4,3.2
40,"CUB",1926,4,0,4,3.2
40,"CUB",1927,4,0,4,3.2
40,"CUB",1928,4,0,4,3.2
40,"CUB",1929,4,0,4,3.2
40,"CUB",1930,4,0,4,3.2
40,"CUB",1931,4,0,4,3.2
40,"CUB",1932,4,0,4,3.2
40,"CUB",1933,4,0,4,3.2
40,"CUB",1934,5,0,5,3.2
40,"CUB",1935,5,0,5,3.2
40,"CUB",1936,5,0,5,3.2
40,"CUB",1937,5,0,5,3.2
40,"CUB",1938,5,0,5,3.2
40,"CUB",1939,5,0,5,3.2
40,"CUB",1940,5,0,5,3.2
40,"CUB",1941,5,0,5,3.2
40,"CUB",1942,5,0,5,3.2
40,"CUB",1943,5,0,5,3.2
40,"CUB",1944,5,0,5,3.2
40,"CUB",1945,5,0,5,3.2
40,"CUB",1946,5,0,5,3.2
40,"CUB",1947,5,0,5,3.2
40,"CUB",1948,5,0,5,3.2
40,"CUB",1949,5,0,5,3.2
40,"CUB",1950,5,0,5,3.2
40,"CUB",1951,5,0,5,3.2
40,"CUB",1952,5,0,5,3.2
40,"CUB",1953,5,0,5,3.2
40,"CUB",1954,5,0,5,3.2
40,"CUB",1955,5,0,5,3.2
40,"CUB",1956,5,0,5,3.2
40,"CUB",1957,5,0,5,3.2
40,"CUB",1958,5,0,5,3.2
40,"CUB",1959,5,0,5,3.2
40,"CUB",1960,5,0,5,3.2
40,"CUB",1961,5,0,5,3.2
40,"CUB",1962,6,0,6,3.2
40,"CUB",1963,6,0,6,3.2
40,"CUB",1964,6,0,6,3.2
40,"CUB",1965,6,0,6,3.2
40,"CUB",1966,6,0,6,3.2
40,"CUB",1967,6,0,6,3.2
40,"CUB",1968,6,0,6,3.2
40,"CUB",1969,6,0,6,3.2
40,"CUB",1970,6,0,6,3.2
40,"CUB",1971,6,0,6,3.2
40,"CUB",1972,6,0,6,3.2
40,"CUB",1973,7,0,7,3.2
40,"CUB",1974,7,0,7,3.2
40,"CUB",1975,7,0,7,3.2
40,"CUB",1976,7,0,7,3.2
40,"CUB",1977,7,0,7,3.2
40,"CUB",1978,7,0,7,3.2
40,"CUB",1979,7,0,7,3.2
40,"CUB",1980,7,0,7,3.2
40,"CUB",1981,8,0,8,3.2
40,"CUB",1982,8,0,8,3.2
40,"CUB",1983,8,0,8,3.2
40,"CUB",1984,8,0,8,3.2
40,"CUB",1985,8,0,8,3.2
40,"CUB",1986,8,0,8,3.2
40,"CUB",1987,8,0,8,3.2
40,"CUB",1988,8,0,8,3.2
40,"CUB",1989,8,0,8,3.2
40,"CUB",1990,8,0,8,3.2
40,"CUB",1991,8,0,8,3.2
40,"CUB",1992,8,0,8,3.2
40,"CUB",1993,8,0,8,3.2
40,"CUB",1994,8,0,8,3.2
40,"CUB",1995,8,0,8,3.2
40,"CUB",1996,8,0,8,3.2
40,"CUB",1997,8,0,8,3.2
40,"CUB",1998,8,0,8,3.2
40,"CUB",1999,8,0,8,3.2
40,"CUB",2000,8,0,8,3.2
40,"CUB",2001,8,0,8,3.2
40,"CUB",2002,8,0,8,3.2
40,"CUB",2003,8,0,8,3.2
40,"CUB",2004,8,0,8,3.2
40,"CUB",2005,8,0,8,3.2
40,"CUB",2006,8,0,8,3.2
40,"CUB",2007,8,0,8,3.2
40,"CUB",2008,8,0,8,3.2
40,"CUB",2009,8,0,8,3.2
40,"CUB",2010,8,0,8,3.2
40,"CUB",2011,8,0,8,3.2
40,"CUB",2012,8,0,8,3.2
40,"CUB",2013,8,0,8,3.2
40,"CUB",2014,8,0,8,3.2
40,"CUB",2015,8,0,8,3.2
40,"CUB",2016,8,0,8,3.2
41,"HAI",1859,1,0,1,3.2
41,"HAI",1860,1,0,1,3.2
41,"HAI",1861,1,0,1,3.2
41,"HAI",1862,1,0,1,3.2
41,"HAI",1863,1,0,1,3.2
41,"HAI",1864,1,0,1,3.2
41,"HAI",1865,1,0,1,3.2
41,"HAI",1866,1,0,1,3.2
41,"HAI",1867,1,0,1,3.2
41,"HAI",1868,1,0,1,3.2
41,"HAI",1869,1,0,1,3.2
41,"HAI",1870,1,0,1,3.2
41,"HAI",1871,1,0,1,3.2
41,"HAI",1872,1,0,1,3.2
41,"HAI",1873,1,0,1,3.2
41,"HAI",1874,1,0,1,3.2
41,"HAI",1875,1,0,1,3.2
41,"HAI",1876,1,0,1,3.2
41,"HAI",1877,1,0,1,3.2
41,"HAI",1878,1,0,1,3.2
41,"HAI",1879,1,0,1,3.2
41,"HAI",1880,1,0,1,3.2
41,"HAI",1881,1,0,1,3.2
41,"HAI",1882,1,0,1,3.2
41,"HAI",1883,1,0,1,3.2
41,"HAI",1884,1,0,1,3.2
41,"HAI",1885,1,0,1,3.2
41,"HAI",1886,1,0,1,3.2
41,"HAI",1887,1,0,1,3.2
41,"HAI",1888,1,0,1,3.2
41,"HAI",1889,1,0,1,3.2
41,"HAI",1890,1,0,1,3.2
41,"HAI",1891,1,0,1,3.2
41,"HAI",1892,1,0,1,3.2
41,"HAI",1893,1,0,1,3.2
41,"HAI",1894,2,1,1,3.2
41,"HAI",1895,2,1,1,3.2
41,"HAI",1896,2,1,1,3.2
41,"HAI",1897,2,1,1,3.2
41,"HAI",1898,2,1,1,3.2
41,"HAI",1899,2,1,1,3.2
41,"HAI",1900,2,1,1,3.2
41,"HAI",1901,2,1,1,3.2
41,"HAI",1902,3,1,2,3.2
41,"HAI",1903,3,1,2,3.2
41,"HAI",1904,3,1,2,3.2
41,"HAI",1905,3,1,2,3.2
41,"HAI",1906,3,1,2,3.2
41,"HAI",1907,2,1,1,3.2
41,"HAI",1908,2,1,1,3.2
41,"HAI",1909,3,1,2,3.2
41,"HAI",1910,3,1,2,3.2
41,"HAI",1911,3,1,2,3.2
41,"HAI",1912,3,1,2,3.2
41,"HAI",1913,3,1,2,3.2
41,"HAI",1914,3,1,2,3.2
41,"HAI",1915,3,1,2,3.2
41,"HAI",1934,3,1,2,3.2
41,"HAI",1935,3,1,2,3.2
41,"HAI",1936,3,1,2,3.2
41,"HAI",1937,3,1,2,3.2
41,"HAI",1938,3,1,2,3.2
41,"HAI",1939,3,1,2,3.2
41,"HAI",1940,3,1,2,3.2
41,"HAI",1941,3,1,2,3.2
41,"HAI",1942,3,1,2,3.2
41,"HAI",1943,3,1,2,3.2
41,"HAI",1944,3,1,2,3.2
41,"HAI",1945,3,1,2,3.2
41,"HAI",1946,3,1,2,3.2
41,"HAI",1947,3,1,2,3.2
41,"HAI",1948,3,1,2,3.2
41,"HAI",1949,3,1,2,3.2
41,"HAI",1950,3,1,2,3.2
41,"HAI",1951,3,1,2,3.2
41,"HAI",1952,3,1,2,3.2
41,"HAI",1953,3,1,2,3.2
41,"HAI",1954,3,1,2,3.2
41,"HAI",1955,3,1,2,3.2
41,"HAI",1956,3,1,2,3.2
41,"HAI",1957,3,1,2,3.2
41,"HAI",1958,3,1,2,3.2
41,"HAI",1959,3,1,2,3.2
41,"HAI",1960,3,1,2,3.2
41,"HAI",1961,3,1,2,3.2
41,"HAI",1962,4,1,3,3.2
41,"HAI",1963,4,1,3,3.2
41,"HAI",1964,4,1,3,3.2
41,"HAI",1965,4,1,3,3.2
41,"HAI",1966,4,1,3,3.2
41,"HAI",1967,4,1,3,3.2
41,"HAI",1968,4,1,3,3.2
41,"HAI",1969,4,1,3,3.2
41,"HAI",1970,4,1,3,3.2
41,"HAI",1971,4,1,3,3.2
41,"HAI",1972,4,1,3,3.2
41,"HAI",1973,5,1,4,3.2
41,"HAI",1974,5,1,4,3.2
41,"HAI",1975,5,1,4,3.2
41,"HAI",1976,5,1,4,3.2
41,"HAI",1977,5,1,4,3.2
41,"HAI",1978,5,1,4,3.2
41,"HAI",1979,5,1,4,3.2
41,"HAI",1980,5,1,4,3.2
41,"HAI",1981,5,1,4,3.2
41,"HAI",1982,5,1,4,3.2
41,"HAI",1983,5,1,4,3.2
41,"HAI",1984,5,1,4,3.2
41,"HAI",1985,5,1,4,3.2
41,"HAI",1986,5,1,4,3.2
41,"HAI",1987,5,1,4,3.2
41,"HAI",1988,5,1,4,3.2
41,"HAI",1989,5,1,4,3.2
41,"HAI",1990,5,1,4,3.2
41,"HAI",1991,5,1,4,3.2
41,"HAI",1992,5,1,4,3.2
41,"HAI",1993,5,1,4,3.2
41,"HAI",1994,5,1,4,3.2
41,"HAI",1995,5,1,4,3.2
41,"HAI",1996,5,1,4,3.2
41,"HAI",1997,5,1,4,3.2
41,"HAI",1998,5,1,4,3.2
41,"HAI",1999,5,1,4,3.2
41,"HAI",2000,5,1,4,3.2
41,"HAI",2001,5,1,4,3.2
41,"HAI",2002,5,1,4,3.2
41,"HAI",2003,5,1,4,3.2
41,"HAI",2004,5,1,4,3.2
41,"HAI",2005,5,1,4,3.2
41,"HAI",2006,5,1,4,3.2
41,"HAI",2007,5,1,4,3.2
41,"HAI",2008,5,1,4,3.2
41,"HAI",2009,5,1,4,3.2
41,"HAI",2010,5,1,4,3.2
41,"HAI",2011,5,1,4,3.2
41,"HAI",2012,5,1,4,3.2
41,"HAI",2013,5,1,4,3.2
41,"HAI",2014,5,1,4,3.2
41,"HAI",2015,5,1,4,3.2
41,"HAI",2016,5,1,4,3.2
42,"DOM",1894,3,1,2,3.2
42,"DOM",1895,3,1,2,3.2
42,"DOM",1896,3,1,2,3.2
42,"DOM",1897,3,1,2,3.2
42,"DOM",1898,3,1,2,3.2
42,"DOM",1899,3,1,2,3.2
42,"DOM",1900,3,1,2,3.2
42,"DOM",1901,3,1,2,3.2
42,"DOM",1902,4,1,3,3.2
42,"DOM",1903,4,1,3,3.2
42,"DOM",1904,4,1,3,3.2
42,"DOM",1905,4,1,3,3.2
42,"DOM",1906,4,1,3,3.2
42,"DOM",1907,3,1,2,3.2
42,"DOM",1908,3,1,2,3.2
42,"DOM",1909,4,1,3,3.2
42,"DOM",1910,4,1,3,3.2
42,"DOM",1911,4,1,3,3.2
42,"DOM",1912,4,1,3,3.2
42,"DOM",1913,4,1,3,3.2
42,"DOM",1914,4,1,3,3.2
42,"DOM",1915,4,1,3,3.2
42,"DOM",1916,3,0,3,3.2
42,"DOM",1924,3,0,3,3.2
42,"DOM",1925,3,0,3,3.2
42,"DOM",1926,3,0,3,3.2
42,"DOM",1927,3,0,3,3.2
42,"DOM",1928,3,0,3,3.2
42,"DOM",1929,3,0,3,3.2
42,"DOM",1930,3,0,3,3.2
42,"DOM",1931,3,0,3,3.2
42,"DOM",1932,3,0,3,3.2
42,"DOM",1933,3,0,3,3.2
42,"DOM",1934,4,1,3,3.2
42,"DOM",1935,4,1,3,3.2
42,"DOM",1936,4,1,3,3.2
42,"DOM",1937,4,1,3,3.2
42,"DOM",1938,4,1,3,3.2
42,"DOM",1939,4,1,3,3.2
42,"DOM",1940,4,1,3,3.2
42,"DOM",1941,4,1,3,3.2
42,"DOM",1942,4,1,3,3.2
42,"DOM",1943,4,1,3,3.2
42,"DOM",1944,4,1,3,3.2
42,"DOM",1945,4,1,3,3.2
42,"DOM",1946,4,1,3,3.2
42,"DOM",1947,4,1,3,3.2
42,"DOM",1948,4,1,3,3.2
42,"DOM",1949,4,1,3,3.2
42,"DOM",1950,4,1,3,3.2
42,"DOM",1951,4,1,3,3.2
42,"DOM",1952,4,1,3,3.2
42,"DOM",1953,4,1,3,3.2
42,"DOM",1954,4,1,3,3.2
42,"DOM",1955,4,1,3,3.2
42,"DOM",1956,4,1,3,3.2
42,"DOM",1957,4,1,3,3.2
42,"DOM",1958,4,1,3,3.2
42,"DOM",1959,4,1,3,3.2
42,"DOM",1960,4,1,3,3.2
42,"DOM",1961,4,1,3,3.2
42,"DOM",1962,5,1,4,3.2
42,"DOM",1963,5,1,4,3.2
42,"DOM",1964,5,1,4,3.2
42,"DOM",1965,5,1,4,3.2
42,"DOM",1966,5,1,4,3.2
42,"DOM",1967,5,1,4,3.2
42,"DOM",1968,5,1,4,3.2
42,"DOM",1969,5,1,4,3.2
42,"DOM",1970,5,1,4,3.2
42,"DOM",1971,5,1,4,3.2
42,"DOM",1972,5,1,4,3.2
42,"DOM",1973,6,1,5,3.2
42,"DOM",1974,6,1,5,3.2
42,"DOM",1975,6,1,5,3.2
42,"DOM",1976,6,1,5,3.2
42,"DOM",1977,6,1,5,3.2
42,"DOM",1978,6,1,5,3.2
42,"DOM",1979,6,1,5,3.2
42,"DOM",1980,6,1,5,3.2
42,"DOM",1981,6,1,5,3.2
42,"DOM",1982,6,1,5,3.2
42,"DOM",1983,7,1,6,3.2
42,"DOM",1984,7,1,6,3.2
42,"DOM",1985,7,1,6,3.2
42,"DOM",1986,7,1,6,3.2
42,"DOM",1987,7,1,6,3.2
42,"DOM",1988,7,1,6,3.2
42,"DOM",1989,7,1,6,3.2
42,"DOM",1990,7,1,6,3.2
42,"DOM",1991,7,1,6,3.2
42,"DOM",1992,7,1,6,3.2
42,"DOM",1993,7,1,6,3.2
42,"DOM",1994,7,1,6,3.2
42,"DOM",1995,7,1,6,3.2
42,"DOM",1996,7,1,6,3.2
42,"DOM",1997,7,1,6,3.2
42,"DOM",1998,7,1,6,3.2
42,"DOM",1999,7,1,6,3.2
42,"DOM",2000,7,1,6,3.2
42,"DOM",2001,7,1,6,3.2
42,"DOM",2002,7,1,6,3.2
42,"DOM",2003,7,1,6,3.2
42,"DOM",2004,7,1,6,3.2
42,"DOM",2005,7,1,6,3.2
42,"DOM",2006,7,1,6,3.2
42,"DOM",2007,7,1,6,3.2
42,"DOM",2008,7,1,6,3.2
42,"DOM",2009,7,1,6,3.2
42,"DOM",2010,7,1,6,3.2
42,"DOM",2011,7,1,6,3.2
42,"DOM",2012,7,1,6,3.2
42,"DOM",2013,7,1,6,3.2
